date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-07-23,4,23.75,70.96342600325,53,-15,-13,36,-32,-30,4,4.79673919061501,1.05691425636984,NaN,21
2020-07-24,1,21.05,86.709385763364,38,-19,-13,31,-33,-30,5,4.88142138756901,1.05961218570242,NaN,21
2020-07-25,4,23.15,56.0438939184511,34,-24,-19,23,-26,-5,-3,4.97328879542804,1.06047441611752,NaN,21
2020-07-26,3,23,79.8995753842148,34,-27,-26,10,-24,14,-7,5.0734432264572,1.05980661025301,NaN,21
2020-07-27,2,24.25,88.11659956841,30,-16,-13,31,-34,-33,3,5.1827065438787,1.05758377500099,NaN,21
2020-07-28,5,24.7,90.096407432437,46,-17,-13,29,-34,-32,5,5.30038901124566,1.05831237948425,NaN,21
2020-07-29,6,25.1,94.7744876132527,55,-16,-13,33,-36,-32,4,5.42544213990435,1.05852059992811,NaN,21
2020-07-30,0,25.45,88.5024077553226,59,-17,-16,21,-35,-33,4,5.5592184703269,1.06035632079651,NaN,21
2020-07-31,1,27.2,75.4838194299229,NaN,-20,-17,30,-35,-33,3,5.70367851945035,1.06028561074255,NaN,21
2020-08-01,6,26.5,75.9580094793887,NaN,-30,-25,-7,-33,-12,-3,5.86099371129047,1.06037581484428,NaN,21
